Date,FarmName,Plot Area in m2,Activity,Image_url,sequence of visit,tillage,DAP(kg),MOP(kg),SEED,GERMINATION VALUE(%),Channels Constructed,Sprinker installed,Irrigation Done,Seed Variety,Activity image,Growth Stage/Alert,Weeding,Soil,Severity,Weeding Done,Fertilization Done,Tiller value
16/05/2024,Charandas10,1436,sowing,,,,,,14.2,,,,,1207,,,,,,,,
16/05/2024,Charandas11,1382,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas11,1382,Fertilizer,,,,17,17,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas11,1382,sowing,,,,,,13.5,,,,,1207,,,,,,,,
16/05/2024,Charandas12,1227,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas12,1227,Fertilizer,,,,15.5,15.5,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas12,1227,sowing,,,,,,12.132,,,,,1207,,,,,,,,
16/05/2024,Charandas13,396,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas13,396,Fertilizer,,,,4.9,4.9,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas13,396,sowing,,,,,,3.915,,,,,1207,,,,,,,,
16/05/2024,Charandas14,776,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas14,776,Fertilizer,,,,9.6,9.6,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas14,776,sowing,,,,,,7.6,,,,,1207,,,,,,,,
16/05/2024,Charandas15,1013,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas15,1013,Fertilizer,,,,12.5,12.5,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas15,1013,sowing,,,,,,10,,,,,1207,,,,,,,,
16/05/2024,Charandas16,164,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas16,164,Fertilizer,,,,2,2,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas16,164,sowing,,,,,,1.6,,,,,1207,,,,,,,,
16/05/2024,Charandas17,2781,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas17,2781,Fertilizer,,,,35,35,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas17,2781,sowing,,,,,,27.5,,,,,1207,,,,,,,,
17/05/2024,Charandas18,938,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Charandas18,938,Fertilizer,,,,11.8,11.8,,,,,,1207,,,,,,,TRUE,
17/05/2024,Charandas18,938,sowing,,,,,,9.27,,,,,1207,,,,,,,,
17/05/2024,Charandas19,658,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Charandas19,658,Fertilizer,,,,8.2,8.2,,,,,,1207,,,,,,,TRUE,
17/05/2024,Charandas19,658,sowing,,,,,,6.5,,,,,1207,,,,,,,,
17/05/2024,Charandas20,3291,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Charandas20,3291,Fertilizer,,,,42.5,42.5,,,,,,1207,,,,,,,TRUE,
17/05/2024,Charandas20,3291,sowing,,,,,,32.5,,,,,1207,,,,,,,,
17/05/2024,Ramesh1,4710,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Ramesh1,4710,Fertilizer,,,,58.22,58.22,,,,,,1207,,,,,,,TRUE,
17/05/2024,Ramesh1,4710,sowing,,,,,,46.5,,,,,1207,,,,,,,,
17/05/2024,Ramesh2,634,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Ramesh2,634,Fertilizer,,,,7.83,7.83,,,,,,1207,,,,,,,TRUE,
17/05/2024,Ramesh2,634,sowing,,,,,,6.3,,,,,1207,,,,,,,,
17/05/2024,Ramesh3,809,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Ramesh3,809,Fertilizer,,,,10,10,,,,,,1207,,,,,,,TRUE,
17/05/2024,Ramesh3,809,sowing,,,,,,8,,,,,1207,,,,,,,,
17/05/2024,Ramesh4,917,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
17/05/2024,Ramesh4,917,Fertilizer,,,,22.7,22.7,,,,,,1207,,,,,,,TRUE,
17/05/2024,Ramesh4,917,sowing,,,,,,9,,,,,1207,,,,,,,,
18/05/2024,Nain singh1,2685,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Nain singh1,2685,Fertilizer,,,,34,34,,,,,,8214,,,,,,,TRUE,
18/05/2024,Nain singh1,2685,sowing,,,,,,26.5,,,,,8214,,,,,,,,
18/05/2024,Nain singh2,2792,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Nain singh2,2792,Fertilizer,,,,35,35,,,,,,8214,,,,,,,TRUE,
18/05/2024,Nain singh2,2792,sowing,,,,,,27.65,,,,,8214,,,,,,,,
18/05/2024,Nain singh3,773,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Nain singh3,773,Fertilizer,,,,10,10,,,,,,8214,,,,,,,TRUE,
18/05/2024,Nain singh3,773,sowing,,,,,,10,,,,,8214,,,,,,,,
18/05/2024,Nain singh4,3355,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Nain singh4,3355,Fertilizer,,,,42,42,,,,,,8214,,,,,,,TRUE,
18/05/2024,Nain singh4,3355,sowing,,,,,,33.2,,,,,8214,,,,,,,,
19/05/2024,Rakesh1,1534,sowing,,,,,,15.16,,,,,8214,,,,,,,,
18/05/2024,Rakesh1,1534,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh1,1534,Fertilizer,,,,19,19,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh2,665,sowing,,,,,,6.57,,,,,8214,,,,,,,,
18/05/2024,Rakesh2,665,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh2,665,Fertilizer,,,,8.22,8.22,,,,,,8214,,,,,,,TRUE,
18/05/2024,Rakesh3,337,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh3,337,Fertilizer,,,,4.165,4.165,,,,,,8214,,,,,,,TRUE,
18/05/2024,Rakesh3,337,sowing,,,,,,3.33,,,,,8214,,,,,,,,
19/05/2024,Rakesh4,578,sowing,,,,,,3.33,,,,,8214,,,,,,,,
18/05/2024,Rakesh4,578,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh4,578,Fertilizer,,,,7.15,7.15,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh5,89,sowing,,,,,,0.88,,,,,8214,,,,,,,,
18/05/2024,Rakesh5,89,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh5,89,Fertilizer,,,,1.1,1.1,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh6,95,sowing,,,,,,0.93,,,,,8214,,,,,,,,
18/05/2024,Rakesh6,95,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh6,95,Fertilizer,,,,1.17,1.17,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh7,45,sowing,,,,,,0.44,,,,,8214,,,,,,,,
18/05/2024,Rakesh7,45,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh7,45,Fertilizer,,,,0.6,0.6,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh8,525,sowing,,,,,,5.19,,,,,8214,,,,,,,,
18/05/2024,Rakesh8,525,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh8,525,Fertilizer,,,,6.5,6.5,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh9,420,sowing,,,,,,4.15,,,,,8214,,,,,,,,
18/05/2024,Rakesh9,420,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh9,420,Fertilizer,,,,5.25,5.25,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh10,385,sowing,,,,,,4.15,,,,,8214,,,,,,,,
18/05/2024,Rakesh10,385,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh10,385,Fertilizer,,,,5,5,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rakesh11,258,sowing,,,,,,2.55,,,,,8214,,,,,,,,
18/05/2024,Rakesh11,258,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
18/05/2024,Rakesh11,258,Fertilizer,,,,3.25,3.25,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rajendra1,389,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Rajendra1,389,Fertilizer,,,,4.8,4.8,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rajendra1,389,sowing,,,,,,3.8,,,,,8214,,,,,,,,
19/05/2024,Rajendra2,956,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Rajendra2,956,Fertilizer,,,,12.35,12.35,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rajendra2,956,sowing,,,,,,9.8,,,,,8214,,,,,,,,
19/05/2024,Rajendra3,661,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Rajendra3,661,Fertilizer,,,,8.25,8.25,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rajendra3,661,sowing,,,,,,6.63,,,,,8214,,,,,,,,
20/05/2024,Rajendra4,1034,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
20/05/2024,Rajendra4,1034,Fertilizer,,,,12.8,12.8,,,,,,8214,,,,,,,TRUE,
20/05/2024,Rajendra4,1034,sowing,,,,,,10.22,,,,,8214,,,,,,,,
20/05/2024,Rajendra5,219,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
20/05/2024,Rajendra5,219,Fertilizer,,,,2.75,2.75,,,,,,8214,,,,,,,TRUE,
20/05/2024,Rajendra5,219,sowing,,,,,,2.165,,,,,8214,,,,,,,,
20/05/2024,Rajendra6,157,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
20/05/2024,Rajendra6,157,Fertilizer,,,,1.94,1.94,,,,,,8214,,,,,,,TRUE,
20/05/2024,Rajendra6,157,sowing,,,,,,1.55,,,,,8214,,,,,,,,
20/05/2024,Rajendra7,327,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
20/05/2024,Rajendra7,327,Fertilizer,,,,4.4,4.4,,,,,,8214,,,,,,,TRUE,
20/05/2024,Rajendra7,327,sowing,,,,,,3.23,,,,,8214,,,,,,,,
19/05/2024,Rajendra8,359,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Rajendra8,359,Fertilizer,,,,4.45,4.45,,,,,,8214,,,,,,,TRUE,
19/05/2024,Rajendra8,359,sowing,,,,,,3.5,,,,,8214,,,,,,,,
19/05/2024,Dinesh1,1757,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Dinesh1,1757,Fertilizer,,,,21.75,21.75,,,,,,8214,,,,,,,TRUE,
19/05/2024,Dinesh1,1757,sowing,,,,,,21.71,,,,,8214,,,,,,,,
19/05/2024,Dinesh2,399,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Dinesh2,399,Fertilizer,,,,5,5,,,,,,8214,,,,,,,TRUE,
19/05/2024,Dinesh2,399,sowing,,,,,,3.35,,,,,8214,,,,,,,,
19/05/2024,Jaydev1,444,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Jaydev1,444,Fertilizer,,,,4.85,4.85,,,,,,8214,,,,,,,TRUE,
19/05/2024,Jaydev1,444,sowing,,,,,,3.84,,,,,8214,,,,,,,,
19/05/2024,Jaydev2,389,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Jaydev2,389,Fertilizer,,,,5,5,,,,,,8214,,,,,,,TRUE,
19/05/2024,Jaydev2,389,sowing,,,,,,4.39,,,,,8214,,,,,,,,
19/05/2024,Jaydev3,952,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Jaydev3,952,Fertilizer,,,,11.8,11.8,,,,,,8214,,,,,,,TRUE,
19/05/2024,Jaydev3,952,sowing,,,,,,9.41,,,,,8214,,,,,,,,
19/05/2024,Dev prakash1,1052,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Dev prakash1,1052,Fertilizer,,,,13,13,,,,,,8214,,,,,,,TRUE,
19/05/2024,Dev prakash1,1052,sowing,,,,,,10.41,,,,,8214,,,,,,,,
19/05/2024,Dev prakash2,647,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Dev prakash2,647,Fertilizer,,,,8,8,,,,,,8214,,,,,,,TRUE,
19/05/2024,Dev prakash2,647,sowing,,,,,,6.4,,,,,8214,,,,,,,,
19/05/2024,Dev prakash3,728,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
19/05/2024,Dev prakash3,728,Fertilizer,,,,9,9,,,,,,8214,,,,,,,TRUE,
19/05/2024,Dev prakash3,728,sowing,,,,,,7.2,,,,,8214,,,,,,,,
20/05/2024,Dev prakash4,2347,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
20/05/2024,Dev prakash4,2347,Fertilizer,,,,28,28,,,,,,8214,,,,,,,TRUE,
20/05/2024,Dev prakash4,2347,sowing,,,,,,23,,,,,8214,,,,,,,,
20/05/2024,Mahendra1,1630,Field Preparation,,,2 times,,,,,,,,8214,,,,,,,,
20/05/2024,Mahendra1,1630,Fertilizer,,,,20,20,,,,,,8214,,,,,,,TRUE,
20/05/2024,Mahendra1,1630,sowing,,,,,,16,,,,,8214,,,,,,,,
22/05/2024,Charandas1,1224,Field Visit,,,,,,,40,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas2,1620,Field Visit,,,,,,,40,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas3,997,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas4,862,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas5,1249,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas6,3681,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas7,386,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas8,981,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas9,338,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas10,1436,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas11,1382,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas12,1227,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas13,396,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas14,776,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas15,1013,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas16,164,Field Visit,,,,,,,25,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas17,2781,Field Visit,,,,,,,0,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas18,938,Field Visit,,,,,,,0,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas19,658,Field Visit,,,,,,,0,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Charandas20,3291,Field Visit,,,,,,,0,Gully Channel constructed,,,1207,,,,,,,,
22/05/2024,Rakesh1,1534,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Rakesh2,665,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Rakesh3,337,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Rakesh4,578,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Rakesh5,89,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Rakesh6,95,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Rakesh7,45,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Jaydev1,444,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Jaydev2,389,Field Visit,,,,,,,0,,,,8214,,,,,,,,
22/05/2024,Jaydev3,952,Field Visit,,,,,,,0,,,,8214,,,,,,,,
23/05/2024,Charandas1,1224,Field Visit,,,,,,,50,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas2,1620,Field Visit,,,,,,,50,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas3,997,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas4,862,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas5,1249,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas6,3681,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas7,386,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas8,981,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas9,338,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas10,1436,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas11,1382,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas12,1227,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas13,396,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas14,776,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas15,1013,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas16,164,Field Visit,,,,,,,40,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas17,2781,Field Visit,,,,,,,20,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas18,938,Field Visit,,,,,,,0,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas19,658,Field Visit,,,,,,,0,,TRUE,,1207,,,,,,,,
23/05/2024,Charandas20,3291,Field Visit,,,,,,,0,,,,1207,,,,,,,,
23/05/2024,Nain singh1,2685,Field Visit,,,,,,,20,,,,8214,,,,,,,,
23/05/2024,Nain singh2,2792,Field Visit,,,,,,,20,,,,8214,,,,,,,,
23/05/2024,Nain singh3,773,Field Visit,,,,,,,20,,,,8214,,,,,,,,
23/05/2024,Ramesh1,4710,Field Visit,,,,,,,0,channels constructed,,,1207,,,,,,,,
23/05/2024,Ramesh2,634,Field Visit,,,,,,,0,channels constructed,,,1207,,,,,,,,
23/05/2024,Ramesh3,809,Field Visit,,,,,,,0,channels constructed,,,1207,,,,,,,,
23/05/2024,Ramesh4,917,Field Visit,,,,,,,0,channels constructed,,,1207,,,,,,,,
23/05/2024,Dev prakash1,1052,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Dev prakash2,647,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Dev prakash3,728,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra1,389,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra2,956,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra3,661,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra4,1034,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra5,219,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra6,157,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Rajendra7,327,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Dinesh1,1757,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
23/05/2024,Dinesh2,399,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra1,389,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra2,956,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra3,661,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra4,1034,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra5,219,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra6,157,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra7,327,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rajendra8,359,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Dev prakash1,1052,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Dev prakash2,647,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Dev prakash3,728,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Dev prakash4,2347,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh1,1534,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh2,665,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh3,337,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh4,578,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh5,89,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh6,95,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh7,45,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh8,525,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh9,420,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh10,385,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Rakesh11,258,Field Visit,,,,,,,20,channels constructed,,,8214,,,,,,,,
24/05/2024,Jaydev1,444,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Jaydev2,389,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Jaydev3,952,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
24/05/2024,Dinesh1,1757,Field Visit,,,,,,,0,channels constructed,,,8214,,,,,,,,
25/05/2024,Charandas1,1224,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas2,1620,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas3,997,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas4,862,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas5,1249,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas6,3681,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas7,386,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas8,981,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas9,338,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas10,1436,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas11,1382,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas12,1227,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas13,396,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas14,776,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas15,1013,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas16,164,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas17,2781,Field Visit,,,,,,,85,,,,1207,,,,,,,,
25/05/2024,Charandas18,938,Field Visit,,,,,,,85,,,,1207,,,,,,,,
